chave_unica,timestamp,codigo,data,cliente,saldo_credito,numero_dias_atraso,valor_titulo_atraso,numero_titulos_atraso,total_pedido,setor,status,critica_principal,critica_cdp,alcada1,alcada2,alcada3,codigo_critica,status_critica,alcada_critica,produto_critica,combo_critica,quantidade_critica,valor_critica
05412909202029092020210000000003223001,05412909202029092020210000000003223001,1,2020-09-29 09:26:36,3223,0,0,0,0,0,210,4,78,0,2,8,0,78,4,2,18345,0,1.0,17.52
05412909202029092020210000000003223001,05412909202029092020210000000003223001,1,2020-09-29 09:26:36,3223,0,0,0,0,0,210,4,78,0,2,8,0,78,4,2,18345,0,1.0,17.52
05412909202029092020210000000003223001,05412909202029092020210000000003223001,1,2020-09-29 09:26:36,3223,0,0,0,0,0,210,4,78,0,2,8,0,78,4,2,18345,0,1.0,17.52
05412909202029092020210000000003223001,05412909202029092020210000000003223001,1,2020-09-29 09:26:36,3223,0,0,0,0,0,210,4,78,0,2,8,0,78,4,2,18345,0,1.0,17.52
05412909202029092020210000000020065001,05412909202029092020210000000020065001,1,2020-09-29 09:26:36,20065,2765.0,0,0.0,0,0.0,210,4,101,0,7,8,0,168,4,8,,,,
05412909202029092020210000000020065001,05412909202029092020210000000020065001,1,2020-09-29 09:26:36,20065,2765.0,0,0.0,0,0.0,210,4,101,0,7,8,0,168,4,8,,,,
05412909202029092020210000000020065001,05412909202029092020210000000020065001,1,2020-09-29 09:26:36,20065,2765.0,0,0.0,0,0.0,210,4,101,0,7,8,0,168,4,8,,,,
05412909202029092020210000000020065002,05412909202029092020210000000020065002,1,2020-09-29 09:26:36,20065,2765.0,0,0.0,0,0.0,210,4,101,0,7,8,0,168,4,8,,,,
05412909202029092020210000000020065002,05412909202029092020210000000020065002,1,2020-09-29 09:26:36,20065,2765.0,0,0.0,0,0.0,210,4,101,0,7,8,0,168,4,8,,,,
05412909202029092020210000000020065002,05412909202029092020210000000020065002,1,2020-09-29 09:26:36,20065,2765.0,0,0.0,0,0.0,210,4,101,0,7,8,0,168,4,8,,,,
05412909202029092020210000000020065003,05412909202029092020210000000020065003,1,2020-09-29 09:26:36,20065,2765.0,0,0.0,0,0.0,210,4,101,0,7,8,0,168,4,8,,,,
05412909202029092020210000000020065003,05412909202029092020210000000020065003,1,2020-09-29 09:26:36,20065,2765.0,0,0.0,0,0.0,210,4,101,0,7,8,0,168,4,8,,,,
05412909202029092020210000000020065003,05412909202029092020210000000020065003,1,2020-09-29 09:26:36,20065,2765.0,0,0.0,0,0.0,210,4,101,0,7,8,0,168,4,8,,,,
05412909202029092020210000000021187001,05412909202029092020210000000021187001,1,2020-09-29 09:26:37,21187,3059.0,0,0.0,0,0.0,210,4,168,0,7,8,0,154,1,7,,,,
05412909202029092020210000000021187001,05412909202029092020210000000021187001,1,2020-09-29 09:26:37,21187,3059.0,0,0.0,0,0.0,210,4,168,0,7,8,0,154,1,7,,,,
